Restaurant,City,Google Places ID,TPV 90 Days,Red Flags,Cohort,email? 
Barista Coffee & Brunch,San Francisco,,$0.00,0 Checkins; No Bill.com,BB2,
Beacon Coffee & Pantry,San Francisco,,$0.00,TPV ↓ 20%+; No Bill.com,BB2,
Beanstalk Cafe,San Francisco,ChIJXYdiHT2HhYARHK70h6vSQ7U,$0.00,0 Checkins; No Bill.com,BB2,
Bergerac,San Francisco,ChIJ5wZMMyZj4ARDpT0d0kIx7A,$0.00,No Bill.com,BB1,
Birdsong,San Francisco,,$0.00,0 Checkins; No Bill.com,BB1,
Boa's CVC,San Francisco,ChIJH4uoIwCHhYARfWf4ezh6GDQ,$0.00,0 Checkins; No Bill.com,BB1,
Boto,San Francisco,,$0.00,0 Checkins; No Bill.com,BB1,
Brass Tacks,San Francisco,ChIJk6gadKKAhYARcgOWgoUYnU0,$0.00,0 Checkins; No Bill.com,BB3,
Cafe Suspiro,San Francisco,ChIJG_bIJihj4ARxqBUWrFtzc,$0.00,0 Checkins; No Bill.com,BB1,
Coco's Ramen,San Francisco,ChIJcUzYJUNj4ARGx8br3pTkc,$0.00,0 Checkins; No Bill.com,BB1,
CyBelle's Front Room,San Francisco,ChIJdeLTgV6HhYARWnd3auwv1Ck,$0.00,No Bill.com,BB1,
Dalida,San Francisco,ChIJ0oKamHhYARzNhyX0KQcEg,$0.00,0 Checkins; No Bill.com,BB1,
DAMNFiNE pizza,San Francisco,ChIJHxooqPeHhYARPEcGJ0tTqnU,$0.00,No Bill.com,BB1,
Deccan House,San Francisco,ChIJ3dbHAD9j4ARXtnqYkNLGsI,$0.00,0 Checkins; No Bill.com,BB1,
DecoDance Bar,San Francisco,ChIJJyH9nvaBhYARJI0u9ZmqOSQ,$0.00,No Bill.com,BB1,
Dento Piano Cafe and Bar,San Francisco,ChIJHQQJrNp_j4ARgVdiTzPfnA,$0.00,0 Checkins; No Bill.com,BB1,
Dragon Well,San Francisco,,$0.00,0 Checkins; No Bill.com,BB1,
Eats,San Francisco,ChIJLTo1iTmHhYARzSryJMomLjk,$0.00,0 Checkins; No Bill.com,BB1,
El Porteno,San Francisco,,$0.00,No Bill.com,BB2,
El Porteno,San Francisco,,$0.00,No Bill.com,BB2,
Fanoos Grills,San Francisco,ChIJmUCXDwCBhYARBcS2YxOru8,$0.00,0 Checkins; No Bill.com,BB1,
Final Final,San Francisco,ChIJTx2ix9SAhYARjNIgHLlm7rI,$0.00,No Bill.com,BB3,
Fisch and Flore,San Francisco,,$0.00,No Bill.com,BB1,
Go Duck Yourself 去你鸭的,San Francisco,ChIJH4SYagB_j4ARxDhsP_fdEmU,$0.00,0 Checkins; No Bill.com,BB1,
Gola Tunisian Restaurant and Bar,San Francisco,ChIJt5h4q_d_j4AR4K_2lVxLjPg,$0.00,No Bill.com,BB1,
Ham & Cheese Deli,San Francisco,ChIJbT0pbGeHhYAR3c1VXfW4abU,$0.00,0 Checkins; No Bill.com,BB1,
Hilda and Jesse,San Francisco,ChIJOTxqBuBhYARiQ7wRTHOyj4,$0.00,No Bill.com,BB1,
Howells,San Francisco,ChIJxa3rONSAhYARnJI7phh_yoU,$0.00,0 Checkins; No Bill.com,BB1,
Ilcha,San Francisco,,$0.00,No Bill.com,BB1,
Jane on Larkin,San Francisco,,$0.00,0 Checkins; No Bill.com,BB2,
Jane on Larkin,San Francisco,,$0.00,0 Checkins; No Bill.com,BB2,
Jane the Bakery,San Francisco,,$0.00,No Bill.com,BB2,
Jerry's Roast Pork,San Francisco,ChIJuU5vB2GAhYAR6zVEBjcyh0s,$0.00,0 Checkins; No Bill.com,BB1,
Kaiyo Handroll Bar,San Francisco,ChIJAXE1qNyAhYARE3Obk8H7CIg,$0.00,0 Checkins; No Bill.com,BB1,
Last Drop Tavern,San Francisco,ChIJ8SMqIoyAhYAR3YqQwKhcMpA,$0.00,0 Checkins; No Bill.com,BB1,
Le Petit Paris 75,San Francisco,ChIJL69MYPSAhYARcKY5UDn06OE,$0.00,0 Checkins; No Bill.com,BB1,
Leadbetter's Bake Shop,San Francisco,ChIJJxR0dwB_j4ARtfp0ymMLxU,$0.00,0 Checkins; No Bill.com,BB1,
Luce,San Francisco,,$0.00,0 Checkins; No Bill.com,BB1,
Mister Jiu's,San Francisco,,$0.00,No Bill.com,BB1,
Montesacro,San Francisco,,$0.00,TPV ↓ 20%+; No Bill.com,BB1,
Montesacro,San Francisco,,$0.00,No Bill.com,BB1,
Morning Vibes Cafe,San Francisco,ChIJ73HszTSHhYARe50_Dy9rsAQ,$0.00,0 Checkins; No Bill.com,BB2,
Mozzarella di Bufala,San Francisco,ChIJn6NWIC59j4ARMMQDaNDSTyQ,$0.00,0 Checkins; No Bill.com,BB1,
Oink & Oscar Sandwich Shop,San Francisco,ChIJ12MrxXOBhYARtpZGNtQVZnc,$0.00,0 Checkins; No Bill.com,BB2,
Paper Son Coffee,San Francisco,,$0.00,0 Checkins; No Bill.com,BB2,
Perbacco,San Francisco,ChIJNy8VmmGAhYARQF84_9twEc4,$0.00,0 Checkins; No Bill.com,BB1,
Propagation,San Francisco,ChIJAWTM5XuBhYAR8XFpTtV6cWI,$0.00,No Bill.com,BB3,
Ricco Mediterranean Restaurant,San Francisco,ChIJT38zVACBhYARt6kXf2xuSvs,$0.00,TPV ↓ 20%+; No Bill.com,BB1,
Ristobar,San Francisco,ChIJZSPQINSAhYAR_o9rtGR7u0I,$0.00,No Bill.com,BB1,
Rosemary & Pine,San Francisco,,$0.00,No Bill.com,BB1,
Roxanne Cafe,San Francisco,ChIJg7cNIYyAhYAR8D4ml1oItTg,$0.00,0 Checkins; No Bill.com,BB1,
Sandwich Monkey,San Francisco,ChIJX2apKgCBhYARX5H5uwaQ8TU,$0.00,0 Checkins; No Bill.com,BB1,
SF Founding Member,San Francisco,,$0.00,No Bill.com,BB1,
State Bird Provisions,San Francisco,,$0.00,0 Checkins; No Bill.com,BB1,
Street Restaurant,San Francisco,ChIJP61JomAhYARynPDnUkRBr0,$0.00,0 Checkins; No Bill.com,BB1,
Terzo,San Francisco,ChIJK8BnWtCAhYARQPED11PXEY,$0.00,No Bill.com,BB1,
The Anchovy Bar,San Francisco,,$0.00,0 Checkins; No Bill.com,BB1,
The Progress,San Francisco,,$0.00,0 Checkins; No Bill.com,BB1,
The Ramp Restaurant,San Francisco,ChIJXXpdB8d_j4ARtnpDTqHFZNo,$0.00,0 Checkins; No Bill.com,BB1,
The Roll,San Francisco,ChIJGxgWxiWBhYAR71LXuTFYxR4,$0.00,TPV ↓ 20%+; No Bill.com,BB1,
The Socialite Kitchen,San Francisco,ChIJt29ThNeBhYARQnKR8tuqOgM,$0.00,0 Checkins; No Bill.com,BB1,
Toy Boat by Jane,San Francisco,ChIJ6TT_TuHhYARYnxWYzdyHik,$0.00,0 Checkins; No Bill.com,BB2,
Trevino Wine Bar,San Francisco,ChIJP8L7l0V_j4AR8PSkxoE9_F4,$0.00,0 Checkins; No Bill.com,BB1,
Trinity,San Francisco,,$0.00,0 Checkins; No Bill.com,BB3,
Victoria Pastry Company,San Francisco,,$0.00,TPV ↓ 20%+; No Bill.com,BB2,
YH Beijing,San Francisco,ChIJ5Z8qxqaAhYARm_WgusAlTrU,$0.00,0 Checkins; No Bill.com,BB1,
ZOË,San Francisco,ChIJl1L3AAqBhYARfrEds4G_pEU,$0.00,No Bill.com,BB1,
ABACÁ,San Francisco,,$1.00,No Bill.com,BB1,
The Sentinel,San Francisco,ChIJcTnoH4iAhYARFWBp5hD9ek,$20.00,No Bill.com,BB2,
Bettola,San Francisco,,$27.00,TPV ↓ 20%+; No Bill.com,BB1,
Tropisueno,San Francisco,ChIJfcaly4eAhYARSIvvfFpH64w,$34.00,No Bill.com,BB1,
LoreSF,San Francisco,ChIJZUnKqyNj4ARUirlewbzpFE,$42.00,No Bill.com,BB1,
Fable,San Francisco,ChIJ369T0Rpj4ARftWt7DRMdo4,$45.00,No Bill.com,BB1,
Penelope's Coffee & Tea,San Francisco,ChIJq7Ci1KWBhYARqSh4YNX06Q,$74.00,No Bill.com,BB2,
Claude's Restaurant,Southampton,ChIJMzhNLsSU6IkRrAXeD8DiE6E,$0.00,0 Checkins; No Bill.com,BB1,
Farm and Forage  East Hampton,Southampton,ChIJ351dWuV6IkRJdrm70raZag,$0.00,0 Checkins; No Bill.com,BB2,
Namiro,Southampton,,$0.00,No Bill.com,BB1,
Farm and Forage  Southampton,Southampton,ChIJ351dWuV6IkRJdrm70raZag,$46.00,Account Healthy,BB2,
Tap & Burger,Westminster,ChIJMxG526KHbIcRH8Qv62Ug5I0,$0.00,0 Checkins; No Bill.com,BB1,
Viva Goa Indian Cuisine,,ChIJXbtPG9SAhYAReUqbC0kzwY,$0.00,0 Checkins; No Bill.com,BB1,
